judul,tanggal,isi,kategori
Eks Presiden Brasil Jair Bolsonaro Didakwa Rencanakan Kudeta," Jumat, 22 Nov 2024 16:55 WIB ","Kepolisian Federal Brasil mendakwa mantan Presiden Jair Bolsonaro dan 36 orang lainnya atas dugaan upaya kudeta, Kamis (21/11).
Bolsonaro dan puluhan pendukungnya didakwa karena diduga berencana melakukan kudeta terhadap Presiden saat ini, Luiz Inácio Lula da Silva.

Upaya itu diduga hendak dilancarkan pasca pemilihan presiden (pilpres) Brasil pada Oktober 2022 lalu.
Menurut polisi federal, Bolsonaro terlibat dalam gerakan penolakan hasil pilpres yang berujung pada kerusuhan di Brasilia pada Januari 2023. Saat itu, para pengunjuk rasa berniat menciptakan kekacauan untuk membenarkan kudeta militer.

Setelah melakukan penyelidikan selama ini, polisi pun mengeklaim menemukan bukti bahwa Bolsonaro mengetahui plot upaya kudeta tersebut. Ia dan 36 orang loyalisnya dituduh berbagi peran untuk menjalankan beberapa tugas, di antaranya menyebarkan disinformasi serta menghasut militer untuk ikut upaya kudeta.

Dalam dakwaan ini, 36 orang yang ikut terseret bersama Bolsonaro sendiri yakni para pendukung setia sang eks Presiden. Mereka di antaranya eks Menteri Pertahanan Walter Braga Netto, mantan Penasihat Keamanan Nasional Augusto Heleno, mantan Komandan Angkatan Laut Almir Garnier Santos dan mantan Menteri Kehakiman Anderson Torres.
Kepolisian menyatakan laporan penyelidikan ini telah diserahkan kepada Mahkamah Agung. Mahkamah Agung sementara itu menyebut akan menyerahkan laporan tersebut kepada Kejaksaan Agung pada pekan depan.
Kejaksaan Agung yang nantinya memutuskan apakah akan mengajukan tuntutan terhadap Bolsonaro dan 36 orang tersebut, demikian dikutip Reuters.
Merespons dakwaan ini, Bolsonaro dalam unggahan di X mengaku belum melihat dakwaan terhadapnya itu. Ia memilih untuk menunggu pengacaranya.
Bolsonaro selama ini telah membantah bahwa dirinya berniat untuk tetap berkuasa usai pilpres 2022 memenangkan Lula.
""Ini tentu saja akan dibawa ke Kantor Kejaksaan Agung. Perjuangan dimulai di Kantor Kejaksaan Agung. Saya tidak bisa berharap apa pun dari tim yang menggunakan kreativitas untuk mencela saya,"" tulisnya mengutip wawancara yang dilakukannya dengan surat kabar daring Brasil, Metrópoles, demikian dikutip CNN.



",internasional
"ICC Rilis Surat Penangkapan, Netanyahu Jadi Buronan 124 Negara"," Jumat, 22 Nov 2024 16:20 WIB ","Perdana Menteri Israel Benjamin Netanyahu menjadi buronan 124 negara usai Mahkamah Pidana Internasional (International Criminal Court/ICC) resmi merilis surat penangkapannya pada Kamis (21/11).
Selain Netanyahu, ICC juga memaparkan mantan Menteri Pertahanan Israel, Yoav Gallant, turut menjadi subjek penangkapan mahkamah tersebut.

""[Pengadilan] mengeluarkan surat perintah penangkapan untuk dua orang, Tn. Benjamin Netanyahu dan Tn. Yoav Gallant, atas kejahatan terhadap kemanusiaan dan kejahatan perang yang dilakukan setidaknya sejak 8 Oktober 2023 hingga setidaknya 20 Mei 2024, hari ketika Penuntutan mengajukan permohonan surat perintah penangkapan,"" demikian pernyataan ICC.
Dalam pernyataan itu, ICC meyakini Netanyahu dan Gallant ""memikul tanggung jawab pidana"" atas kejahatan perang, kejahatan terhadap kemanusiaan berupa pembunuhan dan penganiayaan, serta tindakan tidak manusiawi lain bersama pihak lain yang terkait.

Israel, yang bukan merupakan negara anggota ICC, menolak mentah-mentah surat penangkapan Netanyahu dan Gallant ini. Netanyahu sendiri menuduh ICC telah melakukan tindakan anti-Semitisme dengan merilis surat penangkapannya tersebut.






""Keputusan anti-Semit dari Pengadilan Kriminal Internasional sebanding dengan pengadilan Dreyfus di zaman modern - dan akan berakhir dengan cara yang sama,"" kata Netanyahu dalam sebuah pernyataan, mengutip AFP, Kamis (21/11).
Pengadilan Dreyfus mengacu pada peristiwa Alfred Dreyfus pada abad ke-19, ketika seorang kapten tentara Yahudi secara keliru divonis bersalah atas tuduhan pengkhianatan di Prancis.
Dengan keputusan ini, Netanyahu dan Gallant menjadi buronan di 124 negara anggota ICC.
Meski Israel bukan negara anggota ICC, Netanyahu tetap bisa ditangkap jika mengunjungi salah satu dari 124 negara anggota ICC.

Menurut Statuta Roma, semua keputusan yang telah diambil ICC harus dipatuhi oleh seluruh negara yang menjadi anggotanya. Dengan kata lain, keputusan ICC untuk menangkap Netanyahu dan Gallant harus dipatuhi oleh negara-negara anggota ICC.
Saat ini, ICC tercatat punya sekitar 124 negara anggota. Dari jumlah tersebut, 42 negara berasal dari kawasan Eropa, 33 dari Afrika, 29 dari Amerika, dan 20 lainnya berasal dari kawasan Asia-Pasifik.
Oleh karena itu, menurut pengacara ICC, Jonathan Kuttab, semua negara tersebut bisa menangkap Netanyahu dan Gallant jika kedua atau salah satu dari mereka berada di sana. Sebab, sebagai anggota, semua negara tersebut harus mematuhi segala ketentuan dari ICC.",internasional
"'Tertidur' 800 Tahun, Gunung Api Islandia Meletus 7 Kali dalam Setahun"," Jumat, 22 Nov 2024 15:45 WIB ","Sebuah gunung merapi di Semenanjung Reykjanes Lyings, Islandia barat daya, dilaporkan sudah mengalami erupsi untuk ke-7 kalinya sepanjang 2024 ini.
Menurut keterangan Kantor Meteorologi Islandia, erupsi kembali terjadi pada Rabu (20/11) malam waktu setempat. Letusan ini dilaporkan menimbulkan keretakan dan menyemburkan lava panas sepanjang 3 kilometer dari lokasi erupsi.

Pejabat Islandia mengatakan, letusan gunung api di Semenanjung Reykjanes yang terjadi Rabu tidak separah letusan yang terjadi pada Agustus lalu. Sebab, kata mereka, letusan kali ini sudah 'mencapai puncaknya'.
Mereka juga menambahkan bahwa letusan gunung tersebut tidak menimbulkan efek yang signifikan, seperti mengganggu aktivitas penerbangan dan aktivitas warga.

Dilansir Euro News, bandara internasional utama Islandia, Bandara Keflavík, mengatakan dalam sebuah pernyataan di situs webnya bahwa aktivitas 'penerbangan tidak terpengaruh' oleh letusan gunung Reykjanes.

Selain itu, mereka juga mengatakan bahwa tidak ada infrastruktur penting di bandara yang rusak imbas letusan gunung tersebut.
Meski begitu, imbas letusan ini, Spa Panas Bumi Blue Lagoon, salah satu tujuan wisata paling populer di Islandia yang ada di dekat gunung api di Semenanjung Reykjanes, harus ditutup sementara waktu.
Sebab, sebagian area di tempat wisata tersebut, termasuk tempat parkir kendaraan, dilaporkan sudah tertutup oleh lava.
""Kami mengamati dan menilai situasi yang berkembang. Ini adalah tantangan baru yang harus kami hadapi, yang mengharuskan kami mengevaluasi pilihan-pilihan kami untuk melangkah maju,"" kata manajer penjualan dan operasi Spa Panas Bumi Blue Lagoon, Helga Árnadóttir.

Gunung berapi di Semenanjung Reykjanes sebetulnya sudah 'tertidur' selama sekitar 800 tahun. Namun, Badan Geologi Islandia melaporkan bahwa gunung tersebut tiba-tiba kembali aktif pada 2021.
Sejak saat itu, letusan gunung api di daerah tersebut semakin sering terjadi. Para ahli juga telah memperingatkan bahwa gunung api Reykjanes kemungkinan akan mengalami letusan berulang selama beberapa dekade ke depan.",internasional
"Gunung Ibu Erupsi Lagi, Keluarkan Sinar Api Setinggi 350 Meter"," Minggu, 24 Nov 2024 12:42 WIB ","Gunung Ibu di Kabupaten Halmahera Barat, Maluku Utara, kembali mengeluarkan sinar api setinggi 350 meter di atas puncak gunung pada Minggu (24/11) dini hari sekitar pukul 00.55 WITA.
""Iya, benar keluarkan sinar api yang teramati setinggi kurang lebih 350 meter saat erupsi,"" kata petugas Pos pengamatan Gunung Ibu di Kabupaten Halmahera Barat, Richard Chaniago dalam keterangan tertulis yang dipantau dari Ternate.

Gunung Ibu kembali erupsi dengan mengeluarkan kolom abu setinggi 800 meter di atas puncak dan kolom abu teramati berwarna kelabu dengan intensitas tebal condong ke arah Barat Daya.
Dia mengatakan erupsi ini berhasil terekam di seismogram dengan amplitudo maksimum 28 mm dan durasi ± 1 menit 40 detik dari Pos PGA Ibu di Desa Gam Ici, Kecamatan Ibu.
""Sebelum mengeluarkan sinar api setinggi 350 meter, pada pukul 00.03 WIT juga mengeluarkan sinar api setinggi kurang lebih 300 meter dari atas puncak gunung,"" ujarnya seperti dikutip Antara.
Dia menjelaskan, bahwa saat ini kondisi gunung api setinggi 1.325 meter dari permukaan laut itu kini masih berstatus Level III atau Siaga.
Oleh karena itu, masyarakat di sekitar Gunung Ibu serta pengunjung atau wisatawan diminta untuk tidak beraktivitas di dalam radius 4 kilometer dan perluasan sektoral berjarak 5 kilometer ke arah bukaan kawah di bagian utara dari kawah aktif gunung tersebut.

""Jika terjadi hujan abu, masyarakat yang beraktivitas di luar rumah disarankan untuk menggunakan masker dan kacamata, agar mereka bisa terhindar dari paparan abu gunung itu,"" ujarnya.
Selain itu, kata dia, seluruh pihak untuk menjaga kondusivitas suasana di masyarakat, tidak menyebarkan narasi bohong dan tidak terpancing isu-isu yang tidak jelas sumbernya serta masyarakat, agar selalu mengikuti arahan dari Pemerintah Daerah.
Dia menambahkan, pemerintah Kabupaten Halmahera Barat agar senantiasa berkoordinasi dengan Pusat Vulkanologi dan Mitigasi Bencana Geologi di Bandung atau dengan Pos Pengamatan Gunung Api Ibu di Desa Gam Ici untuk mendapatkan informasi langsung tentang aktivitas Gunung api itu.",nasional
FOTO: Banjir Bandang di Sibolangit Tewaskan 3 Warga,"Minggu, 24 Nov 2024 12:32 WIB","Banjir bandang menerjang Desa Martelu dan Desa Sala Bulan di Kecamatan Sibolangit, Kabupaten Deliserdang, Sumatera Utara (Sumut) pada Sabtu (23/11).googletag.cmd.push(function() { googletag.display('div-gpt-ad-1621402367069-0'); });",nasional
OTT di Bengkulu Diduga Terkait dengan Pungutan buat Pilkada," Minggu, 24 Nov 2024 12:08 WIB ","Operasi Tangkap Tangan (OTT) yang dilakukan KPK di Provinsi Bengkulu diduga berkaitan dengan pungutan untuk Pilkada 2024. Gubernur Bengkulu Rohidin Mersyah yang ikut dalam kontestasi Pilkada tahun ini diduga menjadi salah satu orang yang ditangkap.
""Pungutan ke pegawai untuk pendanaan pilkada sepertinya,"" ujar Wakil Ketua KPK Alexander Marwata saat dikonfirmasi melalui pesan tertulis, Minggu (24/11).

Sebanyak tujuh orang terjaring tangkap tangan. KPK belum mengungkap identitas para pihak tersebut.
Tim penindakan KPK turut menemukan dan menyita sejumlah uang tunai yang masih dalam proses perhitungan.

""Turut diamankan sejumlah uang (masih dihitung),"" ucap Juru Bicara KPK Tessa Mahardhika Sugiarto.
Lembaga antirasuah akan menyampaikan detail kronologi OTT dan konstruksi kasus yang tengah diusut dalam konferensi pers sore atau malam hari ini.
""Lebih jelasnya nanti sore baru akan dipaparkan,"" lanjut Alex.
",nasional
Keluarga Kompol Ryanto Ulil Cap AKP Dadang Pengkhianat Polri," Minggu, 24 Nov 2024 11:50 WIB ","Pihak keluarga menyebut AKP Dadang Iskandar adalah pengkhianat di dalam institusi kepolisian, hingga berani menghabisi nyawa Kasat Reskrim Polres Solok Selatan, Kompol (anumerta) Ryanto Ulil Anshar.
Paman korban, Brigjen TNI Elphis Rudy meminta kepada Kapolri Jenderal Listyo Sigit untuk tidak kalah dengan pengkhianat Polri.

""Kami mohon jangan kalah dengan pengkhianat Polri, pengkhianat bangsa, pengkhianat rakyat, jangan kalah dengan produk gagal,"" kata Brigjen Elphis saat prosesi pemakaman di TPU Sir Na Pesse, Makassar, Minggu (24/11).
Brigjen Elphis menduga bahwa tersangka, AKP Dadang Iskandar sudah biasa menghilangkan nyawa orang tanpa ampun.

""Kenapa saya bilang produk gagal, karena saya yakin orang ini sudah sangat biasa melakukannya. Dengan mudahnya mengeksekusi tanpa ampun seorang yang tidak waspada, sudah sangat terbiasa, mungkin sudah melakukan seumur hidupnya,"" ungkapnya.

Meski demikian, Brigjen Elphis merasa bangga dengan sikap Kompol Ryanto Ulil yang tetap berpegang teguh pada prinsip dan integritas dalam menjalankan tugasnya sebagai anggota Polri.
""Kami bangga dengan integritasnya, kami sebenarnya sangat ikhlas. Kami pasrah, kami diajarkan untuk mengampuni,"" katanya.
Pihak keluarga tetap minta agar kasus ditegakkan seadil-adilnya dan memberikan hukuman yang setimpal bagi tersangka.

""Kami sudah mengampuni, namun demikian keluarga juga mengharapkan bahwa hukum tidak boleh tidak ditegakkan. Jangan sia-siakan pengorbanan ananda Ryan,"" pungkasnya.
Kasus polisi tembak polisi terjadi di Polres Solok Selatan, Sumatera Barat.
Kasat Reskrim Polres Solok Selatan AKP Ulil Ryanto Anshari ditembak mati oleh Kabag Ops Polres Solok Selatan AKP Dadang Iskandar, diduga berkaitan dengan bekingan tambang ilegal.
Hingga saat ini kasus masih dalam penyelidikan dan pelaku telah menyerahkan diri.",nasional
"Pemakaman Kompol Ulil, Keluarga Marah Korban Ditembak Sesama Polisi"," Minggu, 24 Nov 2024 11:21 WIB ","Jenazah Kasat Reskrim Polres Solok Selatan, Kompol Anumerta Ryanto Ulil Anshar dimakamkan di Taman Pemakaman Umum (TPU) Siri Na Pesse dengan upacara militer.
Paman korban, Brigjen TNI Elphis Rudy dalam sambutannya mengatakan seluruh pihak keluarga merasa sedih, marah dan kecewa atas kehilangan Ryanto Ulil.
""Kami tidak bisa mengungkapkan rasa sedih, juga marah dan kecewa, kami semua sedih karena kehilangan harapan kami, saya juga yakin Polri kehilangan aset yang berharga. Negara ini kehilangan aset yang berharga, kami sangat sedih kami juga sangat marah dan kecewa sebenarnya,"" kata Brigjen Elphis, Minggu (24/11).
Kemarahan pihak keluarga karena yang menghilangkan nyawa korban bukan orang lain, tetapi rekan di tempat tugasnya sendiri yakni, sesama anggota Polri.

""Dia gugur justru ditempat seharusnya dia merasa aman, seharusnya dia merasa nyaman di sana dalam arti bahwa di polres seharusnya sangat aman, sehingga dia tidak waspada,"" ungkapnya.
Pihak keluarga berharap agar Kapolri Jenderal Listyo Sigit dan seluruh jajaran Polri dapat menegakkan keadilan dalam proses hukum penembakan yang merenggut nyawa Kompol Ryanto Ulil.
""Kami mohon jangan kalah, seluruh rakyat mengharapkan, saya mewakili keluarga mengharapkan keadilan,"" pungkasnya.


Sementara itu, Kapolda Sulsel Irjen Pol Yudhiawan Wibisono yang hadir dalam proses pemakaman tersebut menyampaikan bela sungkawa atas kepergian Kompol Ryanto Ulil Anshar.
""Oleh karena itu, pemerintah dari dinas kepolisian memberi penghargaan kepada almarhum dengan upacara pemakaman secara dinas kepolisian dengan kenaikan pangkat luar biasa Kompol,"" kata Yudhiawan.
Kasus polisi tembak polisi terjadi di Polres Solok Selatan, Sumatera Barat.
Kasat Reskrim Polres Solok Selatan AKP Ulil Ryanto Anshari ditembak mati oleh Kabag Ops Polres Solok Selatan AKP Dadang Iskandar, diduga berkaitan dengan bekingan tambang ilegal.
Hingga saat ini kasus masih dalam penyelidikan dan pelaku telah menyerahkan diri.",nasional
FOTO: Semarak Kampanye Terakhir Cagub-Cawagub di Sejumlah Daerah,"Minggu, 24 Nov 2024 11:12 WIB",Sejumlah cagub-cawagub menggelar kampanye akbar terakhir sebelum masa tenang Pilkada Serentak 2024.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1621402367069-0'); });,nasional
"Banjir Bandang di Sibolangit, 3 Orang Tewas dan 3 Hilang"," Minggu, 24 Nov 2024 11:06 WIB ","Banjir bandang menerjang Desa Martelu dan Desa Sala Bulan di Kecamatan Sibolangit, Kabupaten Deliserdang, Sumatera Utara (Sumut) pada Sabtu (23/11).
Sebanyak tiga korban tewas, tiga orang hilang dan sembilan orang lainnya terluka akibat bencana alam tersebut.


Camat Sibolangit, Hesron T Girsang mengatakan banjir bandang terjadi setelah hujan deras yang melanda wilayah itu beberapa hari terakhir.

""Banjir bandang terjadi setelah hujan deras. Tiba tiba banjir bandang datang dari hulu sungai, di sekitar lokasi kejadian,"" kata Hesron, Minggu (24/11/2024).
Hesron menyebutkan akibat banjir bandang ini, tiga orang tewas antara lain Kartini br Sitepu (65) warga Desa Martelu, Elsie Nadinda Rahel (3) dan Serta Ginting (81) warga Desa Salabulan, Sibolangit.

""Korban terseret banjir bandang. Untuk korban tewas sudah dibawa ke rumah duka. Sedangkan korban luka luka ada sembilan orang dievakuasi ke Puskesmas Sibolangit,"" urainya.
Dalam peristiwa itu, tiga orang lainnya belum ditemukan antara lain Budi Utama Simanjuntak (30), Gerge Barus (40) dan Pardamenta (35). Saat ini tim SAR gabungan masih melakukan pencarian.

""Tim SAR gabungan masih melakukan pencarian untuk korban hilang. Tak hanya korban tewas, banjir bandang juga mengakibatkan sejumlah bangunan hancur,"" bebernya.",nasional
VIDEO: Momen Prabowo Tiba di Indonesia usai Kunjungan Kenegaraan," Minggu, 24 Nov 2024 10:35 WIB ","Presiden RI Prabowo Subianto tiba di Bandara Halim Perdana Kusuma, Jakarta pada Minggu (24/11) pukul 05.30 WIB usai menyelesaikan seluruh rangkaian kunjungan kenegaraanya.
Prabowo disambut langsung oleh Wapres RI Gibran Rakabuming beserta sejumlah anggota Kabinet Merah Putih.
Sebelumnya, Prabowo melakukan kunjungan kerja ke enam negara sejak 8 November hingga 23 November 2024.",nasional
KPK Sita Uang Terkait OTT di Bengkulu," Minggu, 24 Nov 2024 10:10 WIB ","Komisi Pemberantasan Korupsi (KPK) menyita sejumlah uang yang masih dihitung nominalnya dalam Operasi Tangkap Tangan (OTT) di Provinsi Bengkulu, Sabtu (23/11) malam. Penindakan tersebut diduga kuat terkait kasus dugaan suap.
""Benar KPK melakukan kegiatan tangkap tangan di lingkungan Pemerintah Provinsi Bengkulu. Ada sekitar 7 orang yang diamankan. Dan turut diamankan sejumlah uang (masih dihitung),"" ujar Juru Bicara KPK Tessa Mahardhika Sugiarto melalui keterangan tertulis, Minggu (24/11).
Juru bicara berlatar belakang pensiunan Polri ini belum bisa memberi jawaban ketika dikonfirmasi salah satu pihak yang tertangkap tangan ialah Gubernur Bengkulu Rohidin Mersyah.
Tessa menyampaikan kronologi OTT berikut konstruksi kasus yang sedang diusut akan disampaikan dalam konferensi pers sore atau malam ini.


""Untuk lengkapnya akan disampaikan secara resmi oleh lembaga sore/malam nanti,"" ucap Tessa.
Sebelumnya, Kapolresta Bengkulu Kombes Pol Deddy Nata mengatakan KPK meminjam salah satu ruangan di Polresta untuk melakukan pemeriksaan terhadap Rohidin Mersyah, Gubernur Bengkulu yang kembali berkontestasi dalam Pilkada 2024 ini.
""Seperti yang rekan-rekan sudah tahu juga, terakhir tiba di Mako Polresta, mungkin saat ini sudah sedang dalam pemeriksaan KPK, tinggal tunggu berita saja,"" kata Deddy Nata menjawab pertanyaan jurnalis terkait pemeriksaan Rohidin, di Bengkulu.


Rohidin tiba di Mako Polresta Bengkulu sekitar pukul 22.50 WIB dengan tiga mobil yang digunakan KPK. Deddy Nata pun membenarkan Rohidin merupakan orang terakhir sampai di Mako Polresta Bengkulu yang dibawa KPK.
""Ya memang benar Rohidin masuk. Kita tunggu perkembangan lebih lanjut (dari KPK) ya,"" kata Deddy Nata.",nasional
"Update Kasus Judol di Polda: 24 Tersangka, 10 Pegawai Komdigi, 4 Buron"," Minggu, 24 Nov 2024 09:10 WIB ","Penanganan kasus judi online oleh Polda Metro Jaya terus bergulir. Polisi baru-baru ini menangkap tersangka dengan inisial B yang berperan membantu memastikan agar situs judi online tertentu tidak diblokir oleh pemerintah.
B bukan pegawai Kementerian Komunikasi dan Digital (Komdigi).

""Satu orang DPO lainnya dengan inisial B itu berhasil ditangkap beberapa waktu yang lalu di Jakarta,"" ujar Kabid Humas Polda Metro Jaya Ade Ary Syam Indradi, Sabtu (23/11).
Dari penangkapan tersebut, penyidik berhasil menemukan dan menyita barang bukti berupa uang Rp5 miliar diduga terkait dengan perkara.

Kata Ade Ary, uang tersebut merupakan hasil setoran para bandar atau agen judi online yang menitipkan situs judi online kepada tersangka B.
""Salah satu barang buktinya adalah uang tunai, sekitar 5 miliar rupiah,"" ucap dia.
Sejauh ini total barang bukti yang berhasil disita penyidik Subdit Jatanras Ditreskrimum Polda Metro Jaya dalam kasus judi online sekitar Rp150 miliar.

Sedikitnya sudah ada 24 orang yang telah ditetapkan sebagai tersangka berkaitan dengan kasus judi online. Sebanyak 10 orang merupakan pegawai Kementerian Komdigi (kini sudah dipecat) dan sisanya warga sipil lain yang belum dirilis lengkap oleh kepolisian.
Hingga kini polisi masih memburu empat terduga pelaku yang melarikan diri atau buron. Mereka atas inisial J, C, JH dan F.
Kasus ini menarik perhatian publik dan menjadi atensi pemerintah karena dampak yang begitu dahsyat, baik secara ekonomi maupun sosial. Sudah ada beberapa kasus kekerasan termasuk dalam rumah tangga maupun bunuh diri akibat judi online.
Menteri Agama Nasaruddin Umar menuturkan setidaknya ada 4.000 pasangan suami istri yang bercerai lantaran terjerat judi online.
Sementara itu, Menteri Koordinator Bidang Politik dan Keamanan (Menko Polkam) Budi Gunawan mengungkapkan perputaran uang judi online di Indonesia mencapai Rp900 triliun di tahun 2024.

""Perputaran judi online yang ada di Indonesia ini telah mencapai kurang lebih Rp900 triliun di tahun 2024,"" kata Budi di Kantor Komdigi, Jakarta, Kamis (21/11).
Budi mengatakan pemain judi online di Indonesia sebanyak 8,8 juta dengan mayoritas merupakan kalangan menengah ke bawah. Terdapat 97 ribu anggota TNI-Polri dan 1,9 juta pegawai swasta yang bermain judi online.
""80 ribu pemain judi online yang usianya di bawah 10 tahun dan angka ini diprediksi akan terus bertambah jika kita tidak melakukan upaya-upaya masif di dalam memberantas judi online,"" kata dia.",nasional
Tujuh Orang Ditangkap Terkait OTT di Bengkulu," Minggu, 24 Nov 2024 08:30 WIB ","Komisi Pemberantasan Korupsi (KPK) sedikitnya mengamankan tujuh orang dalam Operasi Tangkap Tangan (OTT) di Provinsi Bengkulu, Sabtu (23/11) malam.
Namun, identitas para pihak yang tertangkap tangan tersebut belum dibuka KPK.

""Ada tujuh orang diamankan,"" ujar Wakil Ketua KPK Alexander Marwata saat dikonfirmasi melalui pesan tertulis, Minggu (24/11).
Sebanyak tujuh orang tersebut sejak malam tadi menjalani pemeriksaan awal di Kantor Mako Polresta Bengkulu. Gubernur Bengkulu Rohidin Mersyah menjadi salah satu orang yang diperiksa.

Alex belum bisa memberi banyak informasi mengenai operasi senyap tersebut. Detail mengenai pihak yang terlibat, barang bukti hingga kasus yang sedang diusut akan disampaikan kepada publik apabila kegiatan sudah rampung.

""Detailnya baru nanti sore dipaparkan,"" ucap pimpinan KPK dua periode ini.
Sebelumnya, Kapolresta Bengkulu Kombes Pol Deddy Nata mengatakan KPK meminjam salah satu ruangan di Polresta untuk melakukan pemeriksaan terhadap Rohidin Mersyah, Gubernur Bengkulu yang kembali berkontestasi dalam Pilkada 2024 ini.
""Seperti yang rekan-rekan sudah tahu juga, terakhir tiba di Mako Polresta, mungkin saat ini sudah sedang dalam pemeriksaan KPK, tinggal tunggu berita saja,"" kata Deddy Nata menjawab pertanyaan jurnalis terkait pemeriksaan Rohidin, di Bengkulu.

Rohidin tiba di Mako Polresta Bengkulu sekitar pukul 22.50 WIB dengan tiga mobil yang digunakan KPK. Deddy Nata pun membenarkan Rohidin merupakan orang terakhir sampai di Mako Polresta Bengkulu yang dibawa KPK.
""Ya memang benar Rohidin masuk. Kita tunggu perkembangan lebih lanjut (dari KPK) ya,"" kata Deddy Nata.",nasional
